title,plays
Nicolás Rodríguez Saá - Caballero de día - Radio Del Plata,120
El Cancionero de Raly - columna (Nada del otro Mundo 08-06-17),119
"Nada del Otro Mundo - ""El juego de la silla"" (editorial 13-06-17)",118
"Moreno: ""Lo que pasa es responsabilidad de éste gobierno, si no saben mandar, que se vayan a casa""",118
,117
"Eugenia Tobal habló sobre las denuncias de abuso contra su exnovio, Santiago Aysine",117
"Juan Curuchet, Banco Provincia",116
Audio mami WhatsApp,116
Carlos Castagneto - Siempre es hoy - Radio Del Plata,116
El mensaje de la Negra Vernaci antes de la nota a CFK,115
"""Tengo que volver a empezar en todo sentido, aprender a moverme y a caminar de nuevo"" - EN EL MEDIO",114
EL DEFENSOR DEL PUEBLO FUE TESTIGO DE LA PRESENCIA DE INFILTRADOS.,114
Guillermo Moreno en Futurock 10-08-2017,113
"Entrevista a MONICA MACH, la maestra salteña referida por Macri de ayer ante la Asamblea Legislativa",113
Gabriela Dueñas - Descargo contra Nelson Castro - Veni Cuando Quieras - Radio del Plata,113
Sietecase con Bermudez economista de Clarín.,112
,112
"Nora Cortiñas: ""Espero que hoy no vayan a la plaza a hacer un cierre de campaña"".",112
Javier Milei,111
Pablo Moyano - Siempre Es Hoy - Radio del Plata,110
"Arq. Carlos Navarro #Bombonera360 en Solo Boca Radio, con Tato Aguilera",110
Roberto Navarro - Siempre es hoy - Radio Del Plata,110
"Moreno: ""Si Cristina termina presa, la iremos a ver como a otros militantes peronistas""",110
Cristina con la Negra Vernaci,110
Oscar Laborde - Volver a las Fuentes - Radio del Plata,109
Sergio Wischñevsky - Siempre Es Hoy - Radio del Plata,108
"Dolina sobre la ambicion, el robo, la corrupcion y otra yerbas.",107
,107
Fuerte cruce entre Alberto Fernández y Daniel Tognetti,106
Daniela Bambill - Volver a las Fuentes - Radio del Plata ,106
Editorial de Luis Delía,104
Fabiana Goyeneche habló sobre las agresiones en las redes sociales,104
Marcelo Zlotogwiazda sobre el discurso de Sonia Alesso - La Vuelta de Zloto - Radio del Plata,104
,103
,103
Viviana Fein- Siempre es hoy- Radio del Plata,103
Fabián Estoyanoff indignado con Julio César Gard,102
"Tema Ingrato, Caso CARIMAR, Victor Hugo pone la cara",101
Manuel Vidal en el aire de #SaberHacer,101
"📻 @libermanOnLine Héctor Moncada Pte de Pacifico: ""Si fuera por mi, voy a echar a Allende del club""",100
Alberto Sonsol enojado con la delegación de Peñarol,100
La Geekolumna,99
La traumática historia de Cristina que nadie conocía ,98
"Entrevista con @AmauriChamorro, politólogo ecuatoriano que trabajó en la campaña de @Lenin",97
100 familias en la Argentina tienen una fortuna mayor a los 100 millones de dolares ,97
"Papá de Micaela García: ""Me llamó Cristina""",97
"Con vos.Y ahora quién podrá ayudarnos.Entrevista de Ernesto Tenembaum a Marcos Peña,jefe de Gabinete",97
Victoria Gessaghi - El Mediodía de Del Plata - Radio del Plata,97
Roberto Baradel - Caballero de día - Radio Del Plata,97
Acerca de la Señora de Noble y su fallecimiento. La historia real y el relato.,97
,96
Milagro Sala- Llega el Día- Radio del Plata,96
La falla del campeonato intermedio,95
Parrili desmiente cobro de coimas de Odebrecht.- La Mañana de Víctor Hugo AM 750 12/06/2017,94
Entrevista a Cristina Fernandez de Kirschner con Victor Hugo y su equipo,93
JPV entrevista a Couch Hernandez.com,93
"Dalbon critica a Nelson Castro: ""A Usted le sale su subjetividad""",93
Adrián Stoppelman explica el 25 de mayo de 1810,92
".@SergioOPalazzo: ""No es que las dos partes cedieron, el Gobierno no cedió nada, pura ganancia""",91
Bolsa de Trabajo 15/6,91
"Indio Solari: ""Estoy como la mayoria de la gente"".",91
nota nueva esperanza,91
Juan Mazello en diálogo con LA BRÚJULA 24,90
Chivo Rossi Spot en Tenembaum,90
El Juez de Control José María Smith revela quién es Touriño.,90
El Ciego,90
"Luis Ramírez: ""El pensamiento ideológico de Macri atrasa Setenta u Ochenta años""",89
¿Cuál es el contexto real en el que Pinola define su futuro?,89
HABLAMOS DE RUGBY CON ESTEBAN MENESES,89
"San Martín, Rosas, Perón y Cristina, únicos acusados de Traición a la Patria.",89
"#Racing - Diego Pulpo Gonzalez: ""A los jugadores de #Boca les faltó humildad""",89
"Gustavo Menéndez, intendente de Merlo, en ""Viale 910"" @AlertaO",89
Diego Lugano interceptado por Sebastián giovanelli,89
Miriam Wabiszczwics - Roberto Caballero - Radio Del Plata,88
#YAQPA - Entrevista a Alejandro Cacetta (Ex Director del INCAA) por Gustavo Grabia en Radio Con Vos ,87
"Damián, que resistió adentro de PepsiCo, al hablar de sus compañeros rompió en llanto en vivo ",87
#BlackAndToc 14/06/2017 - Programa -,87
"Durisimo momento en Radio del Plata, 140 trabajadores en la calle",87
"Florencia Kirchner contra Bullrich: ""Retrasó la ley de Educación sexual integral en la Ciudad""",87
Néstor Moccia: Quienes nos gobiernan hoy usan las encuestas para quebrar más la sociedad,86
"Pablo Biró: ""Isela fue echada, no renunció, necesitaba 400 millones de presupuesto y le dieron 160"".",86
"GUILLERMO MORENO ANTE LAS DETENCIONES; A los compañeros no se los lloriquea"": ",84
"""Sos un boludo importante con tarjeta dorada y nadie te lo va a decir""",84
"""Desprogramate"" Malena Pichot",84
Mayra Mendoza,83
"BARADEL: ""NO VAMOS A LA REUNIÓN DE HOY, SALVO QUE NOS RECIBA VIDAL""",83
Tenemabum sobre Macri y Carrio ,83
Daniel Vila sobre el posible despido de Brancatelli,83
Aldo Silva y el final de Código país,81
Macri en contra de los juicios laborales,81
Juan Carlos Scelza en el programa Catarsis,80
Laura Antas jugadora de Cestoball de la selección de Capital @cestoballArg,80
"El Eladio y la Marité, la comunidad paraguaya de BlackAndTOC. ",79
Sacnun en LT8 - Pedido de Informes por los servicios de PAMI,79
"Novaresio: ""No le dije a CFK que era una hdp porque honro mi profesión""",79
Romina del Pla pone en claro el tema de las licencias de las maestras,79
Caballero y Dady Brieva- Siempre es hoy- Radio del Plata,78
#EntrevistaLU14 I #ANSES. Recorte de las pensiones por discapacidad.,78
La Epopeya de Atlético Tucumán,78
Editorial- El Mediodía De Del Plata- Radio del Plata,78
Lousteau destrozó a Carrió por sus dichos sobre Maldonado,77
"Fantino contra el gobierno: ""Es una vergüenza, me da asco""",76
EXCLUSIVO PULXO: El cruce al aire de Silvia Perez Ruiz y Miguel del Sel,76
perros sobre tema latorre,76
Recorte para discapacitados ,76
Recurso de Amparo por quita de pensiones Discapacitados Neuquen,76
,76
Jorge Ferraresi,75
Furia Bebe - Malena Pichot sobre crucifixion de niño del Cura Olmedo de Humahuaca,75
#BlackAndToc 14/06/2017 - Maluma Babys -,75
Petinatti le hace el aguante al Puma,74
TUNI KOLLMAN ENTREVISTA A ANIBAL FERNANDEZ: CRISTINA LE GANA A RANDAZZO COMO EL BARÇA AL PSG,73
"José, el papá de Julián cuenta la decepción de su hijo al asistir a Expo Empleo Joven",73
,73
Recortes en pensiones por discapacidad. Eduardo Joly,73
" Entrevista con Renata Vismara, maestra de Maxi (Nene de escuela pública estigmatizado por Clarín).",73
Háganse cargo. Apertura de #LaMañana de Víctor Hugo por Radio AM 750,73
"Silvia Fernández Barrio contra Barone: ""Es un hijo de puta"" ",72
Dueño de OCA asegura que “no hay posibilidad de quiebra” y denunció que Moyano le robó la empresa,72
Editorial de Sietecase 07/12,72
film XXX FAKTOR FELLATIO,72
"Diego Gutiérrez,Secretario Carrera Administrativa y Convenios Colectivos de Trabajo en Estado Joven",72
Gustavo Ciampa Corriente de Abogado Laboralistas 7 de Julio - Macri y la mafia del juicio laboral ,72
Diego Lugano habla en Radio Sport,72
Alberto Sonsol molesto con jugadores y DT de Peñarol ,71
"Quienes NO DIERON QUORUM para tratar ""La Paritaria Nacional Docente"" en el recinto del Congreso.",71
"Viviana Canosa a Novaresio: ""No me banco que me boludeen""",71
Editorial Eduardo Aliverti - 10/06/2017 -¿Quién liderará el Movimiento Opositor?,71
Moreau arremete contra Alberto Fernández en #LaMañana de Víctor Hugo 05/06/2017,71
La Mami enojada,70
"@SantoroLeandro:""Es absurdo que se le discuta a @CFKArgentina la conducción del Movimiento Nac y Pop",70
Domingo Bresci sobre Carlos Mugica y la actualidad d la Iglesia en relación al  terrorismo de estado,70
"Artemio López: #CFK es la única que tiene chances exitosas de competir con Cambiemos""",70
Monica Fernandez,70
Basta de verso (Florencia Kirchner),70
Sacnun contra la suspensión de las pensiones no contributivas,70
Llamamos en vivo al 0800 del Gobierno para reclamar por las pensiones dadas de baja: ¡NO FUNCIONA!,69
,69
#FederalA - Héctor Gómez (@ChacoForEverRes) @interiorfut @guemes1050,69
JP Varsky con Martin Losteau,69
Ignacio Álvarez habló de la salida de César Bianchi de Santo y seña,69
Martín Lousteau y una muy buen análisis de Rey. Las responsabilidades de la violencia,68
"Mario Quintana: ""No nos pueden correr con un error de 20 pesos""",68
"Entrevista al Lic. Gonzalo Larrosa, director del Instituto Nacional de Rehabilitación.",68
Tenembaum sobre,67
Pedro y Paula en perros de la calle - Hola don Pepito @pedroalfonsoo @paulitachaves,67
Jueza María Laura Garrigós de Rébori,67
Varsky vs peluquero,67
Guillermo Moreno - Siempre Es Hoy - Radio del Plata,67
,66
La Negra Vernaci define claramente las reformas que se vienen...,66
Mensaje en Spanglish de usuario banana,66
 A LA RADIO CON MORIA LATE 14/06/17 ,66
De Una con Niembro - Programa 1,66
Miguel Ángel Asad en LA BRÚJULA 24 FM 93.1,65
GRAN EDITORIAL DE MAX DELUPI SOBRE LAS BAJAS DE PENSIONES Y SUBSIDIOS A DISCAPACITADOS,65
#BlackAndToc 13/06/2017 - Dr. Christian D'alessandro - Quita de pensiones a discapacitados -,65
,65
Salva Banchero se despide de Justicia infinita,65
VORTERIX 2017,65
"""La Patria es el pueblo"" Editorial de Fernando Borroni en  #LaMañana de Víctor Hugo por Radio AM 750",65
RODRIGO CAÑETE INVITADO EN 'PREFERIRÍA NO HACERLO' DE GUSTAVIO NORIEGA ,65
Martin Fresneda con Víctor Hugo por el paro del transporte en Córdoba,64
Rabino Bergman habla tras volver de sus vacaciones,64
,64
El descargo de Julio Ríos contra un colega,64
"Adrian Paenza: ""Los que se van del CONICET van a ocupar trabajos no calificados o irse del país""",64
Guido Zaffora tuvo sexo en Notre Dame,64
"Jorge Rizzo con Luis Novaresio: ""Al Gobierno le interesa más proteger ART que a los trabajadores""",64
Alfredo Casero en Conexión Abierta 17/05/2017,63
"""Están los motivos para hacer un paro general"", Ricardo Pignanelli (SMATA) en #ALosBotes",63
Desopilante parodia periodistica,63
,63
Adriana Puiggros - Hablá Por Vos - Radio del Plata,63
,63
,63
Recorte de pensiones a personas discapacitadas - Guillermo Badino Presidente de,62
El tabano argentino con Alfredo Casero,62
Entrevista a La Faraona con Franco Torchia,62
Resumen compacto del mundial '90 por @JPVarsky ,62
"El economista Javier Milei sostuvo que si bien la economía “se está recuperando, no está creciendo”.",61
Trasnoche pop paranormal,61
Hernán Lacunza por el conflicto docente,61
Pablo Montagna en LA BRÚJULA 24 FM 93.1,61
Diputada PRO no pudo fundamentar su proyecto contra la vacunación obligatoria,61
"Petinatti: ""No participaré en la conducción de la Teletón""",61
Miguel Ángel Asad en LA BRÚJULA 24,61
Nancy fue a Panamericana para ayudar a Gendarmería a reprimir negros,61
"Para Zuchovicki, en el contexto actual el inversor debería “salvar y mantener” sus ahorros",61
Juan Carlos Scelza y su explicación sobre el uso de sinónimos,60
Yanuzzi molesto con La hora de los deportes,60
Editorial de Reynaldo Sietecase sobre el fallo de Bonadio,60
Ley anti vacuna,60
Pablo Tonelli - Siempre Es Hoy - Radio del Plata,60
,60
Latorre ,60
Cristina Cristina Cristina Cristina Cristina... solo se habla de Cristina x Adrián Stoppelman,60
"La madre de María Eugenia Vidal irá a careo por  ""Estafa"" ",60
"Myriam Bregman sobre Luis Majul: ""Es la ausencia del rock mismo""",59
Dr K.,59
"Claudio Leoni: ""Los intendentes  deben generar resistencia política al ajuste""",59
3 Empanadas del día,59
Anibal Fernández - Caballero de Día - Radio del Plata,59
Escucha de Suris,59
"Fueron a trabajar y se encontraron con la fábrica cerrada: En total, 54 pesonas en la calle ",59
"Pablo Moyano: ""No votaremos a este gobierno, desprecian a los trabajadores, es peor que el del 90""",59
Analisis de la crisis en el transporte de larga distancia por Jairo Straccia,59
Dolina: Estupideces norteamericanas incorporadas por los tilingos argentinos,58
#NEP - Hablamos con Claudia - Mamá de Yanina Martínez por la quita de la pensión ,58
Stella Calloni: Este gobierno aprovecha un drama para justificar la presencia norteamericana.,58
Gerardo Zanoni - Volver a las Fuentes - Radio del Plata,58
"""El enemigo"" Por: Carlos Polimeni - Radio del Plata",58
Martín Kohan sobre la cifra de 30.000 desaprecidos,58
Juan Di Natale en Basta De Todo 28/02/17,57
Los Rengos Del Bajo,57
,57
#BlackAndToc 12/06/2017 - Supuestos Chats hot entre Diego Latorre y Natacha Jaitt - Parte 2,57
Pato Celeste entrevistado por Julio Rios. Segunda Parte.,57
"César Luis Menotti en #LTA: ""Claro que quiero ganar pero no hago trampa"".",57
